r,t,y,AccumulatedNewCapacity
KENYA,BESS_TECH,2024,0.0065
KENYA,BESS_TECH,2025,0.0863
KENYA,BESS_TECH,2026,0.0863
KENYA,BESS_TECH,2027,0.0863
KENYA,BESS_TECH,2028,0.0863
KENYA,BESS_TECH,2029,0.0863
KENYA,BESS_TECH,2030,0.0863
KENYA,BESS_TECH,2031,0.0863
KENYA,BESS_TECH,2032,0.0863
KENYA,BESS_TECH,2033,0.0863
KENYA,BESS_TECH,2034,0.0798
KENYA,BESS_TECH,2036,0.0043
KENYA,BESS_TECH,2037,0.0346
KENYA,BESS_TECH,2038,0.0346
KENYA,BESS_TECH,2039,0.0346
KENYA,BESS_TECH,2040,0.0586
KENYA,BESS_TECH,2041,0.0643
KENYA,BESS_TECH,2042,0.0643
KENYA,BESS_TECH,2043,0.0643
KENYA,BESS_TECH,2044,0.0643
KENYA,BESS_TECH,2045,0.1984
KENYA,BESS_TECH,2046,0.1941
KENYA,BESS_TECH,2047,0.2492
KENYA,BESS_TECH,2048,0.2492
KENYA,BESS_TECH,2049,0.3387
KENYA,BESS_TECH,2050,0.5358
KENYA,DEMCOMELC,2019,1.2415
KENYA,DEMCOMELC,2020,1.2415
KENYA,DEMCOMELC,2021,1.2415
KENYA,DEMCOMELC,2022,1.2415
KENYA,DEMCOMELC,2023,1.2415
KENYA,DEMCOMELC,2024,1.2415
KENYA,DEMCOMELC,2025,1.2415
KENYA,DEMCOMELC,2026,1.2415
KENYA,DEMCOMELC,2027,1.2415
KENYA,DEMCOMELC,2028,1.2415
KENYA,DEMCOMELC,2029,1.2415
KENYA,DEMCOMELC,2030,1.2415
KENYA,DEMCOMELC,2031,1.2415
KENYA,DEMCOMELC,2032,1.2415
KENYA,DEMCOMELC,2033,1.2415
KENYA,DEMCOMELC,2034,1.2415
KENYA,DEMCOMELC,2035,1.2415
KENYA,DEMCOMELC,2036,1.2415
KENYA,DEMCOMELC,2037,1.2415
KENYA,DEMCOMELC,2038,1.2415
KENYA,DEMCOMELC,2039,1.2415
KENYA,DEMCOMELC,2040,1.2415
KENYA,DEMCOMELC,2041,1.2415
KENYA,DEMCOMELC,2042,1.2415
KENYA,DEMCOMELC,2043,1.2415
KENYA,DEMCOMELC,2044,1.2415
KENYA,DEMCOMELC,2045,1.2415
KENYA,DEMCOMELC,2046,1.2415
KENYA,DEMCOMELC,2047,1.2415
KENYA,DEMCOMELC,2048,1.2415
KENYA,DEMCOMELC,2049,1.2415
KENYA,DEMCOMELC,2050,1.2415
KENYA,DEMINDELC,2019,4.2771
KENYA,DEMINDELC,2020,4.2771
KENYA,DEMINDELC,2021,4.2771
KENYA,DEMINDELC,2022,4.2771
KENYA,DEMINDELC,2023,4.2771
KENYA,DEMINDELC,2024,4.2771
KENYA,DEMINDELC,2025,4.2771
KENYA,DEMINDELC,2026,4.2771
KENYA,DEMINDELC,2027,4.2771
KENYA,DEMINDELC,2028,4.2771
KENYA,DEMINDELC,2029,4.2771
KENYA,DEMINDELC,2030,4.2771
KENYA,DEMINDELC,2031,4.2771
KENYA,DEMINDELC,2032,4.2771
KENYA,DEMINDELC,2033,4.2771
KENYA,DEMINDELC,2034,4.2771
KENYA,DEMINDELC,2035,4.2771
KENYA,DEMINDELC,2036,4.2771
KENYA,DEMINDELC,2037,4.2771
KENYA,DEMINDELC,2038,4.2771
KENYA,DEMINDELC,2039,4.2771
KENYA,DEMINDELC,2040,4.2771
KENYA,DEMINDELC,2041,4.2771
KENYA,DEMINDELC,2042,4.2771
KENYA,DEMINDELC,2043,4.2771
KENYA,DEMINDELC,2044,4.2771
KENYA,DEMINDELC,2045,4.2771
KENYA,DEMINDELC,2046,4.2771
KENYA,DEMINDELC,2047,4.2771
KENYA,DEMINDELC,2048,4.2771
KENYA,DEMINDELC,2049,4.2771
KENYA,DEMINDELC,2050,4.2771
KENYA,DEMRESELC,2019,0.5693
KENYA,DEMRESELC,2020,0.5793
KENYA,DEMRESELC,2021,0.6449
KENYA,DEMRESELC,2022,0.6449
KENYA,DEMRESELC,2023,0.6449
KENYA,DEMRESELC,2024,0.8517
KENYA,DEMRESELC,2025,0.8517
KENYA,DEMRESELC,2026,0.8517
KENYA,DEMRESELC,2027,0.8517
KENYA,DEMRESELC,2028,0.8517
KENYA,DEMRESELC,2029,0.8517
KENYA,DEMRESELC,2030,2.3173
KENYA,DEMRESELC,2031,2.3173
KENYA,DEMRESELC,2032,2.3173
KENYA,DEMRESELC,2033,2.3173
KENYA,DEMRESELC,2034,2.3173
KENYA,DEMRESELC,2035,2.3173
KENYA,DEMRESELC,2036,2.3173
KENYA,DEMRESELC,2037,2.3173
KENYA,DEMRESELC,2038,2.3173
KENYA,DEMRESELC,2039,2.3173
KENYA,DEMRESELC,2040,2.3173
KENYA,DEMRESELC,2041,2.3173
KENYA,DEMRESELC,2042,2.3173
KENYA,DEMRESELC,2043,2.3173
KENYA,DEMRESELC,2044,2.3173
KENYA,DEMRESELC,2045,2.3173
KENYA,DEMRESELC,2046,2.3173
KENYA,DEMRESELC,2047,2.3173
KENYA,DEMRESELC,2048,2.449
KENYA,DEMRESELC,2049,2.7355
KENYA,DEMRESELC,2050,2.7355
KENYA,IMPBIO,2019,9999.0
