r,t,e,m,y,AnnualTechnologyEmissionByMode
KENYA,PWRBIO001,CO2,1,2019,0.0052
KENYA,PWRBIO001,CO2,1,2020,0.0052
KENYA,PWRBIO001,CO2,1,2021,0.0052
KENYA,PWRBIO001,CO2,1,2022,0.0052
KENYA,PWRBIO001,CO2,1,2023,0.0089
KENYA,PWRBIO001,CO2,1,2024,0.0089
KENYA,PWRBIO001,CO2,1,2025,0.0089
KENYA,PWRBIO001,CO2,1,2026,0.0351
KENYA,PWRBIO001,CO2,1,2027,0.0351
KENYA,PWRBIO001,CO2,1,2028,0.056
KENYA,PWRBIO001,CO2,1,2029,0.056
KENYA,PWRBIO001,CO2,1,2030,0.1821
KENYA,PWRBIO001,CO2,1,2031,0.2345
KENYA,PWRBIO001,CO2,1,2032,0.2627
KENYA,PWRBIO001,CO2,1,2033,0.2706
KENYA,PWRBIO001,CO2,1,2034,0.2863
KENYA,PWRBIO001,CO2,1,2035,0.2871
KENYA,PWRBIO001,CO2,1,2036,0.3104
KENYA,PWRBIO001,CO2,1,2037,0.3337
KENYA,PWRBIO001,CO2,1,2038,0.357
KENYA,PWRBIO001,CO2,1,2039,0.3802
KENYA,PWRBIO001,CO2,1,2040,0.4035
KENYA,PWRBIO001,CO2,1,2041,0.4268
KENYA,PWRBIO001,CO2,1,2042,0.4501
KENYA,PWRBIO001,CO2,1,2043,0.4734
KENYA,PWRBIO001,CO2,1,2044,0.4967
KENYA,PWRBIO001,CO2,1,2045,0.52
KENYA,PWRBIO001,CO2,1,2046,0.5433
KENYA,PWRBIO001,CO2,1,2047,0.5666
KENYA,PWRBIO001,CO2,1,2048,0.44
KENYA,PWRBIO001,CO2,1,2049,0.6132
KENYA,PWRBIO001,CO2,1,2050,0.6364
KENYA,PWRHFO002,CO2,1,2021,0.0004
KENYA,PWRHFO002,CO2,1,2027,0.0012
KENYA,PWRHFO002,CO2,1,2028,0.0013
KENYA,PWRHFO002,CO2,1,2029,0.0005
KENYA,PWRHFO002,CO2,1,2030,0.0774
KENYA,PWRHFO002,CO2,1,2031,0.0745
KENYA,PWRHFO002,CO2,1,2032,0.0745
KENYA,PWRHFO002,CO2,1,2033,0.082
KENYA,PWRHFO002,CO2,1,2034,0.082
KENYA,PWRHFO003,CO2,1,2019,0.0922
KENYA,PWRHFO003,CO2,1,2020,0.0999
KENYA,PWRHFO003,CO2,1,2021,0.0984
KENYA,PWRHFO003,CO2,1,2022,0.0341
KENYA,PWRHFO003,CO2,1,2023,0.0386
KENYA,PWRHFO003,CO2,1,2024,0.0644
KENYA,PWRHFO004,CO2,1,2019,0.2748
KENYA,PWRHFO004,CO2,1,2020,0.3433
KENYA,PWRHFO004,CO2,1,2021,0.3311
KENYA,PWRHFO004,CO2,1,2022,0.1162
KENYA,PWRHFO004,CO2,1,2023,0.1196
KENYA,PWRHFO004,CO2,1,2024,0.1549
KENYA,PWRHFO004,CO2,1,2025,0.1289
KENYA,PWRHFO004,CO2,1,2026,0.0242
KENYA,PWRHFO004,CO2,1,2027,0.1121
KENYA,PWRHFO004,CO2,1,2028,0.1512
KENYA,PWRHFO004,CO2,1,2029,0.1541
KENYA,PWRHFO004,CO2,1,2030,0.1682
KENYA,PWRHFO005,CO2,1,2019,0.0837
KENYA,PWRHFO005,CO2,1,2020,0.0946
KENYA,PWRHFO005,CO2,1,2021,0.0975
KENYA,PWRHFO005,CO2,1,2022,0.0159
KENYA,PWRHFO005,CO2,1,2023,0.0169
KENYA,PWRHFO005,CO2,1,2024,0.0558
KENYA,PWRHFO005,CO2,1,2025,0.0553
KENYA,PWRHFO006,CO2,1,2019,0.4321
KENYA,PWRHFO006,CO2,1,2020,0.435
KENYA,PWRHFO006,CO2,1,2021,0.435
KENYA,PWRHFO006,CO2,1,2022,0.1248
KENYA,PWRHFO006,CO2,1,2023,0.1228
KENYA,PWRHFO006,CO2,1,2024,0.137
KENYA,PWRHFO006,CO2,1,2025,0.1247
KENYA,PWRHFO006,CO2,1,2026,0.0616
KENYA,PWRHFO006,CO2,1,2027,0.1118
KENYA,PWRHFO006,CO2,1,2028,0.1238
KENYA,PWRHFO006,CO2,1,2029,0.1238
KENYA,PWRHFO007,CO2,1,2019,0.0327
KENYA,PWRHFO007,CO2,1,2020,0.0541
KENYA,PWRHFO007,CO2,1,2021,0.0642
KENYA,PWRHFO007,CO2,1,2022,0.0051
KENYA,PWRHFO007,CO2,1,2024,0.009
KENYA,PWRHFO007,CO2,1,2025,0.019
KENYA,PWRHFO007,CO2,1,2026,0.006
KENYA,PWRHFO007,CO2,1,2027,0.0367
KENYA,PWRHFO007,CO2,1,2028,0.0474
KENYA,PWRHFO007,CO2,1,2029,0.0613
KENYA,PWRHFO007,CO2,1,2030,0.1181
KENYA,PWRHFO007,CO2,1,2031,0.1237
KENYA,PWRHFO007,CO2,1,2032,0.2666
KENYA,PWRHFO007,CO2,1,2033,0.4348
KENYA,PWRHFO008,CO2,1,2019,0.0039
KENYA,PWRHFO008,CO2,1,2020,0.0082
KENYA,PWRHFO008,CO2,1,2021,0.0098
KENYA,PWRHFO008,CO2,1,2027,0.0074
KENYA,PWRHFO008,CO2,1,2028,0.0079
KENYA,PWRHFO008,CO2,1,2029,0.0073
KENYA,PWRHFO008,CO2,1,2030,0.1147
KENYA,PWRHFO008,CO2,1,2031,0.1146
KENYA,PWRHFO008,CO2,1,2032,0.116
KENYA,PWRHFO008,CO2,1,2033,0.1201
KENYA,PWRHFO009,CO2,1,2019,0.0407
KENYA,PWRHFO009,CO2,1,2020,0.0383
KENYA,PWRHFO009,CO2,1,2021,0.0353
KENYA,PWRHFO009,CO2,1,2023,0.0068
KENYA,PWRHFO009,CO2,1,2024,0.0178
KENYA,PWRHFO009,CO2,1,2025,0.0083
KENYA,PWRHFO009,CO2,1,2027,0.0279
KENYA,PWRHFO009,CO2,1,2028,0.0627
KENYA,PWRHFO009,CO2,1,2029,0.0553
KENYA,PWRHFO009,CO2,1,2030,0.1126
KENYA,PWRHFO009,CO2,1,2031,0.1154
KENYA,PWRHFO009,CO2,1,2032,0.2071
KENYA,PWRHFO009,CO2,1,2033,0.4148
KENYA,PWRHFO009,CO2,1,2034,0.1314
KENYA,PWRHFO009,CO2,1,2035,0.4148
KENYA,PWRNGS002,CO2,1,2031,0.2276
KENYA,PWRNGS002,CO2,1,2032,0.5902
KENYA,PWRNGS002,CO2,1,2033,0.6997
KENYA,PWRNGS002,CO2,1,2034,1.5857
KENYA,PWRNGS002,CO2,1,2035,2.0155
KENYA,PWRNGS002,CO2,1,2036,1.4238
KENYA,PWRNGS002,CO2,1,2037,1.848
KENYA,PWRNGS002,CO2,1,2038,2.0155
KENYA,PWRNGS002,CO2,1,2039,2.0155
KENYA,PWRNGS002,CO2,1,2040,1.3823
