r,s,y,StorageUpperLimit
KENYA,BESS001,2023,0.0005
KENYA,BESS001,2024,0.0005
KENYA,BESS001,2025,0.0038
KENYA,BESS001,2026,0.0038
KENYA,BESS001,2027,0.0067
KENYA,BESS001,2028,0.0067
KENYA,BESS001,2029,0.0067
KENYA,BESS001,2030,0.0067
KENYA,BESS001,2031,0.0067
KENYA,BESS001,2032,0.0067
KENYA,BESS001,2033,0.0062
KENYA,BESS001,2034,0.0062
KENYA,BESS001,2035,0.003
KENYA,BESS001,2036,0.003
KENYA,BESS001,2037,0.0
KENYA,BESS001,2038,0.0
KENYA,BESS001,2039,0.0
KENYA,BESS001,2040,0.0
KENYA,BESS001,2041,0.0
KENYA,BESS001,2042,0.0
KENYA,BESS001,2043,0.0028
KENYA,BESS001,2044,0.0028
KENYA,BESS001,2045,0.0058
KENYA,BESS001,2046,0.0325
KENYA,BESS001,2047,0.0325
KENYA,BESS001,2048,0.0325
KENYA,BESS001,2049,0.0325
KENYA,BESS001,2050,0.0325
KENYA,PHS001,2034,0.0016
KENYA,PHS001,2035,0.0023
KENYA,PHS001,2036,0.003
KENYA,PHS001,2037,0.003
KENYA,PHS001,2038,0.003
KENYA,PHS001,2039,0.003
KENYA,PHS001,2040,0.0034
KENYA,PHS001,2041,0.0034
KENYA,PHS001,2042,0.0034
KENYA,PHS001,2043,0.0041
KENYA,PHS001,2044,0.0042
KENYA,PHS001,2045,0.0042
KENYA,PHS001,2046,0.0042
KENYA,PHS001,2047,0.0042
KENYA,PHS001,2048,0.0043
KENYA,PHS001,2049,0.0044
KENYA,PHS001,2050,0.0045
KENYA,PHS002,2034,0.0009
KENYA,PHS002,2035,0.0011
KENYA,PHS002,2036,0.0019
KENYA,PHS002,2037,0.0021
KENYA,PHS002,2038,0.0024
KENYA,PHS002,2039,0.0031
KENYA,PHS002,2040,0.0044
KENYA,PHS002,2041,0.0044
KENYA,PHS002,2042,0.0044
KENYA,PHS002,2043,0.0044
KENYA,PHS002,2044,0.0044
KENYA,PHS002,2045,0.0044
KENYA,PHS002,2046,0.0044
KENYA,PHS002,2047,0.0044
KENYA,PHS002,2048,0.0044
KENYA,PHS002,2049,0.0044
KENYA,PHS002,2050,0.0044
